DATASTREAM CODE;NAME;SEDOL CODE;TICKER SYMBOL;CUSIP;CIK;;
891399;AMAZON.COM;2000019;AMZN;23135106;1018724;;
916328;ABBOTT LABORATORIES;2002305;ABT;2824100;1800;;
906187;INTERNATIONAL BUS.MCHS.;2005973;IBM;459200101;51143;;
322677;ALLSTATE;2019952;ALL;20002101;899051;;
906191;HONEYWELL INTL.;2020459;HON;438516106;773840;;
938692;AMGEN;2023607;AMGN;31162100;318154;;
906156;AMERICAN EXPRESS;2026082;AXP;25816109;4962;;
916305;AMERICAN INTL.GP.;2027342;AIG;26874784;5272;;
981550;COMCAST A;2044545;CMCSA;20030N101;1166691;;
992816;APPLE;2046251;AAPL;37833100;320193;;
874227;BERKSHIRE HATHAWAY 'B';2073390;BRK.A;84670108;0001067983;;
945384;VERIZON COMMUNICATIONS;2090571;VZ;92343V104;732712;;
904818;BOEING;2108601;BA;97023105;12927;;
905080;BRISTOL MYERS SQUIBB;2126335;BMY;110122108;14272;;
951849;FEDEX;2142784;FDX;31428X106;1048911;;
902224;CATERPILLAR;2180201;CAT;149123101;18230;;
755790;CELGENE;2182348;CELG;151020104;816284;;
902242;JP MORGAN CHASE & CO.;2190385;JPM;46625H100;19617;;
542868;CISCO SYSTEMS;2198163;CSCO;17275R102;858877;;
904282;COCA COLA;2206657;KO;191216100;21344;;
906148;COLGATE-PALM.;2209106;CL;194162103;21665;;
912941;DANAHER;2250870;DHR;235851102;313616;;
923425;TARGET;2259101;TGT;87612E106;27419;;
327998;MORGAN STANLEY;2262314;MS;617446448;895421;;
921964;WALT DISNEY;2270726;DIS;254687106;1001039;;
923937;BANK OF AMERICA;2295677;BAC;60505104;70858;;
741344;CITIGROUP;2297907;C;172967424;831001;;
905115;EMERSON ELECTRIC;2313405;EMR;291011104;32604;;
905039;EXXON MOBIL;2326618;XOM;30231G102;34088;;
905016;NEXTERA ENERGY;2328915;NEE;65339F101;753308;;
907652;GENERAL DYNAMICS;2365161;GD;369550108;40533;;
546697;GILEAD SCIENCES;2369174;GILD;375558103;882095;;
694405;NVIDIA;2379504;NVDA;67066G104;1045810;;
906150;GENERAL ELECTRIC;2380498;GE;369604103;40545;;
904678;HALLIBURTON;2405302;HAL;406216101;45012;;
696738;GOLDMAN SACHS GP.;2407966;GS;38141G104;886982;;
998171;HOME DEPOT;2434209;HD;437076102;354950;;
545725;BIOGEN;2455965;BIIB;09062X103;875045;;
922726;INTEL;2463247;INTC;458140100;50863;;
912212;JOHNSON & JOHNSON;2475833;JNJ;478160104;200406;;
274794;BLACKROCK;2494504;BLK;09247X101;1364742;;
921290;ELI LILLY;2516152;LLY;532457108;59478;;
277487;UNITED PARCEL SER.'B';2517382;UPS;911312106;1090727;;
154423;LOCKHEED MARTIN;2522096;LMT;539830109;936468;;
905620;LOWE'S COMPANIES;2536763;LOW;548661107;60667;;
921910;MCDONALDS;2550707;MCD;580135101;63908;;
286738;METLIFE;2573209;MET;59156R108;1099219;;
912635;CVS HEALTH;2577609;CVS;126650100;64803;;
719643;MICROSOFT;2588173;MSFT;594918104;789019;;
902172;3M;2595708;MMM;88579Y101;66740;;
902230;FORD MOTOR;2615468;F;345370860;37996;;
993249;NIKE 'B';2640147;NKE;654106103;320187;;
906195;WELLS FARGO & CO;2649100;WFC;949746101;72971;;
134843;CAPITAL ONE FINL.;2654461;COF;14040H105;927628;;
905102;OCCIDENTAL PTL.;2655408;OXY;674599105;797468;;
719618;ORACLE;2661568;ORCL;68389X105;1341439;;
902317;EXELON;2670519;EXC;30161N101;1109357;;
905677;PEPSICO;2681511;PEP;713448108;77476;;
904030;PFIZER;2684703;PFE;717081103;78003;;
901666;CONOCOPHILLIPS;2685717;COP;20825C104;1163165;;
904853;ALTRIA GROUP;2692632;MO;02209S103;764180;;
312385;COSTCO WHOLESALE;2701271;COST;22160K105;909832;;
912228;PROCTER & GAMBLE;2704407;PG;742718109;80424;;
546370;QUALCOMM;2714923;QCOM;747525103;804328;;
951046;US BANCORP;2736035;USB;902973304;36104;;
912633;RAYTHEON 'B';2758051;RTN;755111507;1047122;;
905019;MERCK & COMPANY;2778844;MRK;58933Y105;310158;;
912090;SCHLUMBERGER;2779201;SLB;806857108;87347;;
357834;SIMON PROPERTY GROUP;2812452;SPG;828806109;1063761;;
902325;SOUTHERN;2829601;SO;842587107;92122;;
945388;AT&T;2831811;T;00206R102;732717;;
905024;CHEVRON;2838555;CVX;166764100;93410;;
326143;STARBUCKS;2842255;SBUX;855244109;829224;;
15303X;NETFLIX;2857817;NFLX;64110L106;1065280;;
905061;TEXAS INSTRUMENTS;2885409;TXN;882508104;97476;;
905105;UNION PACIFIC;2914734;UNP;907818108;100885;;
905122;UNITED TECHNOLOGIES;2915500;UTX;913017109;101829;;
702635;UNITEDHEALTH GROUP;2917766;UNH;91324P102;731766;;
916548;WALMART;2936921;WMT;931142103;104169;;
32451J;MASTERCARD;B121557;MA;57636Q104;1141391;;
905840;BANK OF NEW YORK MELLON;B1Z77F6;BK;64058100;1390777;;
51605D;PHILIP MORRIS INTL.;B2PKRQ3;PM;718172109;1413329;;
51683M;VISA 'A';B2PZN04;V;92826C839;1403161;;
74500P;KINDER MORGAN;B3NQ4P8;KMI;49456B101;1506307;;
14352P;ACCENTURE CLASS A;B4BNMY3;ACN;G1151C101;1467373;;
68470T;GENERAL MOTORS;B665KZ5;GM;37045V100;1467858;;
86831C;FACEBOOK CLASS A;B7TL820;FB;30303M102;1326801;;
904383;DUKE ENERGY;B7VD3F2;DUK;26441C204;1326160;;
13967E;MONDELEZ INTERNATIONAL CL.A;B8CKK03;MDLZ;609207105;1103982;;
87851X;ABBVIE;B92SR70;ABBV;00287Y109;1551152;;
29739U;TWENTY-FIRST CENTURY FOX CL.A;BBM4S68;FOXA;90130A101;1754301;;
29739V;TWENTY-FIRST CENTURY FOX CL.B;BBM4S80;FOXA;90130A101;1754301;;
696306;BOOKING HOLDINGS;BDRXDB4;BKNG;09857L108;1075531;;
906496;MEDTRONIC;BTN1Y11;MDT;G5960L103;1613103;;
904866;WALGREENS BOOTS ALLIANCE;BTN1Y44;WBA;931427108;1618921;;
325596;ALLERGAN;BY9D546;AGN;G0177J108;1578845;;
9140VW;DOWDUPONT;BYP66M4;DWDP;26078J100;1666700;;
9801CJ;KRAFT HEINZ;BYRY499;KHC;500754106;1637459;;
29026M;ALPHABET A;BYVY8G0;GOOGL;02079K305;1652044;;
9801CK;PAYPAL HOLDINGS;BYW36M8;PYPL;70450Y103;1633917;;
871997;ALPHABET 'C';BYY88Y7;GOOGL;02079K305;1652044;;
68470X;CHARTER COMMS.CL.A;BZ6VT82;CHTR;16119P108;1091667;;
