;CIK;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
0;-1;88;89;90;90;92;93;95;99;99;100
1;1018724;1;1;1;1;1;1;1;1;1;1
2;1800;1;1;1;1;1;1;1;1;1;1
3;51143;1;1;1;1;1;1;1;1;1;1
4;899051;1;1;1;1;1;1;1;1;1;1
5;773840;1;1;1;1;1;1;1;1;1;1
6;318154;1;1;1;1;1;1;1;1;1;1
7;4962;1;1;1;1;1;1;1;1;1;1
8;5272;1;1;1;1;1;1;1;1;1;1
9;1166691;1;1;1;1;1;1;1;1;1;1
10;320193;1;1;1;1;1;1;1;1;1;1
11;1067983;1;1;1;1;1;1;1;1;1;1
12;732712;1;1;1;1;1;1;1;1;1;1
13;12927;1;1;1;1;1;1;1;1;1;1
14;14272;1;1;1;1;1;1;1;1;1;1
15;1048911;1;1;1;1;1;1;1;1;1;1
16;18230;1;1;1;1;1;1;1;1;1;1
17;816284;1;1;1;1;1;1;1;1;1;1
18;19617;1;1;1;1;1;1;1;1;1;1
19;858877;1;1;1;1;1;1;1;1;1;1
20;21344;1;1;1;1;1;1;1;1;1;1
21;21665;1;1;1;1;1;1;1;1;1;1
22;313616;1;1;1;1;1;1;1;1;1;1
23;27419;1;1;1;1;1;1;1;1;1;1
24;895421;1;1;1;1;1;1;1;1;1;1
25;1001039;1;1;1;1;1;1;1;1;1;1
26;70858;1;1;1;1;1;1;1;1;1;1
27;831001;1;1;1;1;1;1;1;1;1;1
28;32604;1;1;1;1;1;1;1;1;1;1
29;34088;1;1;1;1;1;1;1;1;1;1
30;753308;1;1;1;1;1;1;1;1;1;1
31;40533;1;1;1;1;1;1;1;1;1;1
32;882095;1;1;1;1;1;1;1;1;1;1
33;1045810;1;1;1;1;1;1;1;1;1;1
34;40545;1;1;1;1;1;1;1;1;1;1
35;45012;1;1;1;1;1;1;1;1;1;1
36;886982;1;1;1;1;1;1;1;1;1;1
37;354950;1;1;1;1;1;1;1;1;1;1
38;875045;1;1;1;1;1;1;1;1;1;1
39;50863;1;1;1;1;1;1;1;1;1;1
40;200406;1;1;1;1;1;1;1;1;1;1
41;1364742;1;1;1;1;1;1;1;1;1;1
42;59478;1;1;1;1;1;1;1;1;1;1
43;1090727;1;1;1;1;1;1;1;1;1;1
44;936468;1;1;1;1;1;1;1;1;1;1
45;60667;1;1;1;1;1;1;1;1;1;1
46;63908;1;1;1;1;1;1;1;1;1;1
47;1099219;1;1;1;1;1;1;1;1;1;1
48;64803;1;1;1;1;1;1;1;1;1;1
49;789019;1;1;1;1;1;1;1;1;1;1
50;66740;1;1;1;1;1;1;1;1;1;1
51;37996;1;1;1;1;1;1;1;1;1;1
52;320187;1;1;1;1;1;1;1;1;1;1
53;72971;1;1;1;1;1;1;1;1;1;1
54;927628;1;1;1;1;1;1;1;1;1;1
55;797468;1;1;1;1;1;1;1;1;1;1
56;1341439;1;1;1;1;1;1;1;1;1;1
57;1109357;1;1;1;1;1;1;1;1;1;1
58;77476;1;1;1;1;1;1;1;1;1;1
59;78003;1;1;1;1;1;1;1;1;1;1
60;1163165;1;1;1;1;1;1;1;1;1;1
61;764180;1;1;1;1;1;1;1;1;1;1
62;909832;1;1;1;1;1;1;1;1;1;1
63;80424;1;1;1;1;1;1;1;1;1;1
64;804328;1;1;1;1;1;1;1;1;1;1
65;36104;1;1;1;1;1;1;1;1;1;1
66;1047122;1;1;1;1;1;1;1;1;1;1
67;310158;1;1;1;1;1;1;1;1;1;1
68;87347;1;1;1;1;1;1;1;1;1;1
69;1063761;1;1;1;1;1;1;1;1;1;1
70;92122;1;1;1;1;1;1;1;1;1;1
71;732717;1;1;1;1;1;1;1;1;1;1
72;93410;1;1;1;1;1;1;1;1;1;1
73;829224;1;1;1;1;1;1;1;1;1;1
74;1065280;1;1;1;1;1;1;1;1;1;1
75;97476;1;1;1;1;1;1;1;1;1;1
76;100885;1;1;1;1;1;1;1;1;1;1
77;101829;1;1;1;1;1;1;1;1;1;1
78;731766;1;1;1;1;1;1;1;1;1;1
79;104169;1;1;1;1;1;1;1;1;1;1
80;1141391;1;1;1;1;1;1;1;1;1;1
81;1390777;1;1;1;1;1;1;1;1;1;1
82;1413329;1;1;1;1;1;1;1;1;1;1
83;1403161;1;1;1;1;1;1;1;1;1;1
84;1506307;0;0;1;1;1;1;1;1;1;1
85;1467373;1;1;1;1;1;1;1;1;1;1
86;1467858;0;1;1;1;1;1;1;1;1;1
87;1326801;0;0;0;0;1;1;1;1;1;1
88;1326160;1;1;1;1;1;1;1;1;1;1
89;1103982;1;1;1;1;1;1;1;1;1;1
90;1551152;0;0;0;0;1;1;1;1;1;1
91;1754301;0;0;0;0;0;0;0;0;0;0
92;1754301;0;0;0;0;0;0;0;0;0;0
93;1075531;1;1;1;1;1;1;1;1;1;1
94;1613103;0;0;0;0;0;0;1;1;1;1
95;1618921;0;0;0;0;0;0;1;1;1;1
96;1578845;0;0;0;0;0;1;1;1;1;1
97;1666700;0;0;0;0;0;0;0;0;0;1
98;1637459;0;0;0;0;0;0;0;1;1;1
99;1652044;0;0;0;0;0;0;0;1;1;1
100;1633917;0;0;0;0;0;0;0;1;1;1
101;1652044;0;0;0;0;0;0;0;1;1;1
102;1091667;1;1;1;1;1;1;1;1;1;1
