;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;Total;;;;;;
NMR RELATÓRIOS POR ANO:;;88;89;90;90;92;93;95;99;99;100;;;;;;;
;;Esperado: 102 por ano (número de empresas);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;Número de relatórios por empresa:;;;;;;;;;;;;;;;;
NOME EMPRESA;CIK;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;Total;;;;;;
AMAZON.COM;1018724;1;1;1;1;1;1;1;1;1;1;10;(esperado 10 por empresa = nº de anos);;;;;
ABBOTT LABORATORIES;1800;1;1;1;1;1;1;1;1;1;1;10;;;;;;
INTERNATIONAL BUS.MCHS.;51143;1;1;1;1;1;1;1;1;1;1;10;;;;;;
ALLSTATE;899051;1;1;1;1;1;1;1;1;1;1;10;;;;;Criticas:;
HONEYWELL INTL.;773840;1;1;1;1;1;1;1;1;1;1;10;;;;;;Nº de relatórios
AMGEN;318154;1;1;1;1;1;1;1;1;1;1;10;;;;;KINDER MORGAN;8
AMERICAN EXPRESS;4962;1;1;1;1;1;1;1;1;1;1;10;;;;;GENERAL MOTORS;9
AMERICAN INTL.GP.;5272;1;1;1;1;1;1;1;1;1;1;10;;;;;FACEBOOK CLASS A;6
COMCAST A;1166691;1;1;1;1;1;1;1;1;1;1;10;;;;;ABBVIE;6
APPLE;320193;1;1;1;1;1;1;1;1;1;1;10;;;;;TWENTY-FIRST CENTURY FOX CL.A;0
BERKSHIRE HATHAWAY 'B';1067983;1;1;1;1;1;1;1;1;1;1;10;;;;;TWENTY-FIRST CENTURY FOX CL.B;0
VERIZON COMMUNICATIONS;732712;1;1;1;1;1;1;1;1;1;1;10;;;;;MEDTRONIC;4
BOEING;12927;1;1;1;1;1;1;1;1;1;1;10;;;;;WALGREENS BOOTS ALLIANCE;4
BRISTOL MYERS SQUIBB;14272;1;1;1;1;1;1;1;1;1;1;10;;;;;ALLERGAN;5
FEDEX;1048911;1;1;1;1;1;1;1;1;1;1;10;;;;;DOWDUPONT;1
CATERPILLAR;18230;1;1;1;1;1;1;1;1;1;1;10;;;;;KRAFT HEINZ;3
CELGENE;816284;1;1;1;1;1;1;1;1;1;1;10;;;;;ALPHABET A;3
JP MORGAN CHASE & CO.;19617;1;1;1;1;1;1;1;1;1;1;10;;;;;PAYPAL HOLDINGS;3
CISCO SYSTEMS;858877;1;1;1;1;1;1;1;1;1;1;10;;;;;ALPHABET 'C';3
COCA COLA;21344;1;1;1;1;1;1;1;1;1;1;10;;;;;;
COLGATE-PALM.;21665;1;1;1;1;1;1;1;1;1;1;10;;;;;;
DANAHER;313616;1;1;1;1;1;1;1;1;1;1;10;;;;;;
TARGET;27419;1;1;1;1;1;1;1;1;1;1;10;;;;;;
MORGAN STANLEY;895421;1;1;1;1;1;1;1;1;1;1;10;;;;;;
WALT DISNEY;1001039;1;1;1;1;1;1;1;1;1;1;10;;;;;;
BANK OF AMERICA;70858;1;1;1;1;1;1;1;1;1;1;10;;;;;;
CITIGROUP;831001;1;1;1;1;1;1;1;1;1;1;10;;;;;;
EMERSON ELECTRIC;32604;1;1;1;1;1;1;1;1;1;1;10;;;;;;
EXXON MOBIL;34088;1;1;1;1;1;1;1;1;1;1;10;;;;;;
NEXTERA ENERGY;753308;1;1;1;1;1;1;1;1;1;1;10;;;;;;
GENERAL DYNAMICS;40533;1;1;1;1;1;1;1;1;1;1;10;;;;;;
GILEAD SCIENCES;882095;1;1;1;1;1;1;1;1;1;1;10;;;;;;
NVIDIA;1045810;1;1;1;1;1;1;1;1;1;1;10;;;;;;
GENERAL ELECTRIC;40545;1;1;1;1;1;1;1;1;1;1;10;;;;;;
HALLIBURTON;45012;1;1;1;1;1;1;1;1;1;1;10;;;;;;
GOLDMAN SACHS GP.;886982;1;1;1;1;1;1;1;1;1;1;10;;;;;;
HOME DEPOT;354950;1;1;1;1;1;1;1;1;1;1;10;;;;;;
BIOGEN;875045;1;1;1;1;1;1;1;1;1;1;10;;;;;;
INTEL;50863;1;1;1;1;1;1;1;1;1;1;10;;;;;;
JOHNSON & JOHNSON;200406;1;1;1;1;1;1;1;1;1;1;10;;;;;;
BLACKROCK;1364742;1;1;1;1;1;1;1;1;1;1;10;;;;;;
ELI LILLY;59478;1;1;1;1;1;1;1;1;1;1;10;;;;;;
UNITED PARCEL SER.'B';1090727;1;1;1;1;1;1;1;1;1;1;10;;;;;;
LOCKHEED MARTIN;936468;1;1;1;1;1;1;1;1;1;1;10;;;;;;
LOWE'S COMPANIES;60667;1;1;1;1;1;1;1;1;1;1;10;;;;;;
MCDONALDS;63908;1;1;1;1;1;1;1;1;1;1;10;;;;;;
METLIFE;1099219;1;1;1;1;1;1;1;1;1;1;10;;;;;;
CVS HEALTH;64803;1;1;1;1;1;1;1;1;1;1;10;;;;;;
MICROSOFT;789019;1;1;1;1;1;1;1;1;1;1;10;;;;;;
3M;66740;1;1;1;1;1;1;1;1;1;1;10;;;;;;
FORD MOTOR;37996;1;1;1;1;1;1;1;1;1;1;10;;;;;;
NIKE 'B';320187;1;1;1;1;1;1;1;1;1;1;10;;;;;;
WELLS FARGO & CO;72971;1;1;1;1;1;1;1;1;1;1;10;;;;;;
CAPITAL ONE FINL.;927628;1;1;1;1;1;1;1;1;1;1;10;;;;;;
OCCIDENTAL PTL.;797468;1;1;1;1;1;1;1;1;1;1;10;;;;;;
ORACLE;1341439;1;1;1;1;1;1;1;1;1;1;10;;;;;;
EXELON;1109357;1;1;1;1;1;1;1;1;1;1;10;;;;;;
PEPSICO;77476;1;1;1;1;1;1;1;1;1;1;10;;;;;;
PFIZER;78003;1;1;1;1;1;1;1;1;1;1;10;;;;;;
CONOCOPHILLIPS;1163165;1;1;1;1;1;1;1;1;1;1;10;;;;;;
ALTRIA GROUP;764180;1;1;1;1;1;1;1;1;1;1;10;;;;;;
COSTCO WHOLESALE;909832;1;1;1;1;1;1;1;1;1;1;10;;;;;;
PROCTER & GAMBLE;80424;1;1;1;1;1;1;1;1;1;1;10;;;;;;
QUALCOMM;804328;1;1;1;1;1;1;1;1;1;1;10;;;;;;
US BANCORP;36104;1;1;1;1;1;1;1;1;1;1;10;;;;;;
RAYTHEON 'B';1047122;1;1;1;1;1;1;1;1;1;1;10;;;;;;
MERCK & COMPANY;310158;1;1;1;1;1;1;1;1;1;1;10;;;;;;
SCHLUMBERGER;87347;1;1;1;1;1;1;1;1;1;1;10;;;;;;
SIMON PROPERTY GROUP;1063761;1;1;1;1;1;1;1;1;1;1;10;;;;;;
SOUTHERN;92122;1;1;1;1;1;1;1;1;1;1;10;;;;;;
AT&T;732717;1;1;1;1;1;1;1;1;1;1;10;;;;;;
CHEVRON;93410;1;1;1;1;1;1;1;1;1;1;10;;;;;;
STARBUCKS;829224;1;1;1;1;1;1;1;1;1;1;10;;;;;;
NETFLIX;1065280;1;1;1;1;1;1;1;1;1;1;10;;;;;;
TEXAS INSTRUMENTS;97476;1;1;1;1;1;1;1;1;1;1;10;;;;;;
UNION PACIFIC;100885;1;1;1;1;1;1;1;1;1;1;10;;;;;;
UNITED TECHNOLOGIES;101829;1;1;1;1;1;1;1;1;1;1;10;;;;;;
UNITEDHEALTH GROUP;731766;1;1;1;1;1;1;1;1;1;1;10;;;;;;
WALMART;104169;1;1;1;1;1;1;1;1;1;1;10;;;;;;
MASTERCARD;1141391;1;1;1;1;1;1;1;1;1;1;10;;;;;;
BANK OF NEW YORK MELLON;1390777;1;1;1;1;1;1;1;1;1;1;10;;;;;;
PHILIP MORRIS INTL.;1413329;1;1;1;1;1;1;1;1;1;1;10;;;;;;
VISA 'A';1403161;1;1;1;1;1;1;1;1;1;1;10;;;;;;
KINDER MORGAN;1506307;0;0;1;1;1;1;1;1;1;1;8;;;;;;
ACCENTURE CLASS A;1467373;1;1;1;1;1;1;1;1;1;1;10;;;;;;
GENERAL MOTORS;1467858;0;1;1;1;1;1;1;1;1;1;9;;;;;;
