"cik";"company";"year";"date";"ARI";"ARI.simple";"ARI.NRI";"Bormuth.MC";"Bormuth.GP";"Coleman";"Coleman.C2";"Coleman.Liau.ECP";"Coleman.Liau.grade";"Coleman.Liau.short";"Dale.Chall";"Dale.Chall.old";"Dale.Chall.PSK";"Danielson.Bryan";"Danielson.Bryan.2";"Dickes.Steiwer";"DRP";"ELF";"Farr.Jenkins.Paterson";"Flesch";"Flesch.PSK";"Flesch.Kincaid";"FOG";"FOG.PSK";"FOG.NRI";"FORCAST";"FORCAST.RGL";"Fucks";"Linsear.Write";"LIW";"nWS";"nWS.2";"nWS.3";"nWS.4";"RIX";"Scrabble";"SMOG";"SMOG.C";"SMOG.simple";"SMOG.de";"Spache";"Spache.old";"Strain";"Traenkle.Bailer";"Traenkle.Bailer.2";"Wheeler.Smith";"meanSentenceLength";"meanWordSyllables";"NCSKEW";"DUVOL";"CRASH_COUNT"
66740;"3M";"2008";"20080215";-17,605660626125;-75,8028959010575;-15,8835889386654;-5,04497721236907;-337244844,878807;31,2098946422738;30,1323260372427;29,9105725008167;-14,8683334924862;-14,8694707611891;3,46042113568618;-11,9289008581887;-9,96701563882619;-7,84117870283624;77,9311158033977;-504,476938843105;-604,497721236907;-12,5091615769017;-58,255229257084;23,3911158711421;-8,29436001688143;-16,7524294667506;-21,0669930549673;-9,82346889429819;-10050,4092948362;-11,9000122508984;-11,5200134759882;-146,873958911716;-27,7090505274847;-63,7504620559089;-12,4711396944935;-12,873791373472;-11,6138730510528;-12,5196519608603;-9,941143808995;1,60996674092435;-18,1648730697345;-17,4473552305444;-17,4158898079909;-12,4158898079909;-8,55307379507664;-9,50151655465284;-15,0281510272071;-561,980276373323;-327,052735727703;-125,091615769017;-27,1937812326485;-1,84210633779811;0,0338899718896513;0,185164273783554;1
66740;"3M";"2009";"20090217";-18,5929653488757;-77,8129292867455;-16,4851797775887;-5,57467469424411;-455124690,048832;32,208954127912;30,5277262648659;31,3535080916866;-14,4729633688455;-14,4741313675238;3,13245023223545;-11,803184312751;-9,93962958166016;-7,99485138949156;79,046713715093;-532,24680427631;-657,467469424411;-13,5509059534081;-61,0535001517817;23,0843961680847;-8,37512949052654;-17,4831368152422;-21,6917279965538;-10,4497413056164;-15453,6629594478;-11,783842543266;-11,3922267975926;-159,30284728214;-29,083692838654;-64,790266805103;-12,4801506246144;-12,890774594302;-11,7836727938614;-12,9238518939879;-10,4352890422778;1,61484043565376;-18,5333200802662;-17,7960470558899;-17,769146769191;-12,769146769191;-8,73893817595065;-9,73548529798296;-16,2924072476273;-589,870987476086;-320,247205703919;-135,509059534081;-29,962899050906;-1,81250899876177;-0,607199923039411;-0,357858167322267;-3
66740;"3M";"2010";"20100216";-18,0537012613216;-76,7383996908791;-16,032518915004;-5,38343898644183;-412720355,07268;32,5582290582569;31,0103795048043;31,6808008422683;-14,3832838460151;-14,3844359464627;4,2990666694253;-11,673639666902;-9,82181212618709;-7,87762733388083;79,0381668435198;-518,773406791325;-638,343898644183;-13,0252454417952;-60,0454923258821;24,067464253734;-8,2993057673641;-17,1003617012595;-21,2345616577007;-10,1685184098701;-17742,7897194951;-11,7432291792725;-11,3475520971997;-153,769635343619;-27,945301542777;-63,6304901137074;-12,2427144883871;-12,6581348470779;-11,5496467092321;-12,6189376281785;-10,0413744740533;1,6115079654427;-18,2288355120897;-17,5078741692083;-17,4772152560783;-12,4772152560783;-8,54876537898187;-9,52209546588463;-15,7568373071529;-577,057337027145;-319,143811324515;-130,252454417952;-28,9740532959327;-1,81275261998693;1,25549134000748;0,266693723092023;1
66740;"3M";"2011";"20110216";-17,9652178199627;-76,533709397623;-16,1090622864915;-5,23289731574064;-377446709,656572;30,5416889613576;29,3418678465703;30,369987245326;-14,7424520148317;-14,7436014500784;3,0573640018438;-11,9320114453505;-9,99217857146277;-7,89990018324187;78,3076831809622;-514,162577953833;-623,289731574064;-13,1066012488849;-59,259743216966;22,8716831472317;-8,34507796956436;-17,0687140319776;-21,1749743636179;-10,0175401021922;-13304,703293934;-11,9777105858886;-11,6054816444775;-151,390276538805;-27,907225691347;-64,2436145726297;-12,4700649437304;-12,8490329326006;-11,5900165863442;-12,5850898621484;-10,1623550401427;1,60318784538798;-18,2185452087642;-17,4981374529845;-17,467349193446;-12,467349193446;-8,6400063727707;-9,60652662445695;-15,5229259589652;-571,96912177288;-324,422090044642;-131,066012488849;-28,1752899197145;-1,83647042061771;1,06588250912814;0,299989663441262;2
66740;"3M";"2012";"20120216";-17,9276266691055;-76,4492866288641;-16,1280958478142;-5,17989531800065;-366758790,218405;30,1085330162795;29,0055514907628;29,9366716480702;-14,8611822217422;-14,8623303457106;3,04191406011829;-11,9529615999024;-10,0009171026157;-7,90516390070929;78,0621575915466;-512,031472953294;-617,989531800065;-13,0688775510204;-58,9784430674959;22,6371211359064;-8,35113782391318;-17,0312665386257;-21,1303152246814;-9,95835295955734;-13710,3496428571;-12,0280775562466;-11,6608853118712;-150,486394557823;-27,8180272108843;-64,2183860740199;-12,5096198036705;-12,8810600664594;-11,5868167169685;-12,5569391012743;-10,1322278911565;1,60003387860362;-18,1944110862338;-17,4753022813138;-17,4442100539155;-12,4442100539155;-8,62375585330163;-9,58550178342784;-15,4188775510204;-570,017988789708;-326,088607724529;-130,688775510204;-27,8928571428571;-1,8426315468569;0,62116461079891;0,0384242075427948;2
66740;"3M";"2013";"20130214";-17,9184107054491;-76,4296200963472;-16,1272841216874;-5,17103568698842;-364522524,502698;29,9282524767481;28,8522270791124;29,8800041239252;-14,876709350028;-14,8778571542523;2,8910606578412;-11,98103690912;-10,0203779882801;-7,9049750258159;78,0284126027917;-511,747255171292;-617,103568698842;-13,0861839182586;-58,9338635139802;22,5660749382317;-8,35388833163135;-17,0297179751247;-21,1369390520513;-9,95211101337948;-13089,1107885384;-12,0490404096805;-11,6839444506485;-150,319413593958;-27,8418480675255;-64,1612060127839;-12,5231405125902;-12,8906817099882;-11,5966030626027;-12,5618889236033;-10,1123944913372;1,59904992184447;-18,2008599947077;-17,4814040118811;-17,450393091762;-12,450393091762;-8,61790659439432;-9,57871698205903;-15,4050199911151;-569,622622206217;-326,357403661439;-130,861839182586;-27,8467347845402;-1,84402469569102;1,17035991634548;0,416308452221267;2
66740;"3M";"2014";"20140213";-17,9636602907528;-76,5196792094152;-16,1658223814253;-5,18657953131337;-367516833,025081;29,6594171723946;28,5951392864738;29,8463249979553;-14,8859375652603;-14,8870868434397;2,69005857907619;-12,0091977906501;-10,0428571659645;-7,91507461744369;78,0265422677741;-512,844194210432;-618,657953131337;-13,1822750114207;-59,0190345696403;22,3552067239328;-8,36710081986316;-17,0791604232179;-21,1943372588238;-9,97999146032574;-12813,1106509822;-12,0803003287913;-11,7183303616705;-150,78391959799;-27,9926907263591;-64,2776168208526;-12,5610909723235;-12,9226724675734;-11,6305902034139;-12,600554555533;-10,1516674280493;1,59946918054747;-18,2416330307279;-17,5199834358362;-17,4894851684831;-12,4894851684831;-8,64221871071616;-9,60535173186977;-15,4624029237095;-570,705831544863;-326,371276784061;-131,822750114207;-27,9273640931932;-1,84554986668412;-0,892712636149556;-0,531098071579882;-2
66740;"3M";"2015";"20150212";-18,0990623123612;-76,7907150071382;-16,2729123890505;-5,23971867477433;-378527771,239277;29,7653761997116;28,6385590200076;29,8203278880104;-14,8930608773736;-14,8942145308071;2,29698343490344;-12,0565673566742;-10,0839428857467;-7,94311143016663;78,0608564323216;-516,254307714043;-623,971867477433;-13,2893875642824;-59,2978631657327;22,2594561937581;-8,37865673773819;-17,1610822857409;-21,2695772323213;-10,0456039828818;-12754,1773842917;-12,0679795116614;-11,7047774628276;-152,25853202431;-28,1701729780271;-64,5055193236134;-12,5939411112801;-12,9582265301512;-11,6571232058098;-12,6497403600541;-10,2384291725105;1,59791884775229;-18,2894663801309;-17,5652464095022;-17,5353464814294;-12,5353464814294;-8,69634911685498;-9,66601360016614;-15,5967741935484;-574,038989950977;-326,352456475376;-132,893875642824;-28,203366058906;-1,84337029853963;2,38858772232997;0,548950260187256;2
66740;"3M";"2016";"20160211";-19,7980046041912;-80,2257666538843;-17,4345498301138;-6,04992892762055;-580007310,123043;31,6444887933681;29,6436956299253;31,2198074506192;-14,5095978793005;-14,5107972571896;1,06799800196279;-11,9854301158904;-10,1305810072783;-8,23886729763656;79,3657137456261;-562,457192800995;-704,992892762055;-14,8107883817427;-63,5695319532013;19,878590168383;-8,60492173297135;-18,5443850916273;-22,781535809031;-11,1397068898515;-18891,8029045643;-11,8494780472828;-11,4644258520111;-172,232365145228;-31,8107883817427;-66,9809605951391;-12,9467639454546;-13,3467910118731;-12,3294150156849;-13,6497068430035;-11,204979253112;1,61457776325431;-19,2393454195204;-18,4647290238432;-18,4460646400004;-13,4460646400004;-9,02843116190641;-10,0739484395138;-17,7166804979253;-619,334824705187;-318,991205132535;-148,107883817427;-32,4348547717842;-1,82074506191792;0,466698995203833;0,267916428380242;2
66740;"3M";"2017";"20170209";-17,0653941810859;-74,7811573290029;-15,1389259782807;-5,08107057992393;-350827504,15226;32,5996967325377;31,3348242696351;32,880071176719;-14,0546789772943;-14,0557995654368;5,06806144772492;-11,646194732623;-9,76577613466212;-7,64649287081144;79,3329713483828;-495,577584361307;-608,107057992393;-12,3231638418079;-58,4797139417364;25,245568503763;-8,20015030913134;-16,5529311264068;-20,6423149535559;-9,75963985495893;-19757,5754675141;-11,7384073566817;-11,3422480923498;-144,320056497175;-26,5254237288136;-61,6264857743582;-11,9225361424872;-12,3336199803093;-11,2740975702081;-12,2262271541845;-9,38022598870056;1,61217301896112;-17,8402324371969;-17,140286927499;-17,1046332092012;-12,1046332092012;-8,34243670776673;-9,28396167601111;-14,9558474576271;-554,170796366876;-314,195214433987;-123,231638418079;-27,4319209039548;-1,81732898083597;0,54185557774176;0,251152099698228;1
