;;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;Company         Total per year;86;88;89;90;90;92;93;95;99;99;921;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AMAZON.COM;1;1;1;1;1;1;1;1;1;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;ABBOTT LABORATORIES;1;1;1;1;1;1;1;1;1;1;10;;;;;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;Total;;;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;Total
3;INTERNATIONAL BUS.MCHS.;1;1;1;1;1;1;1;1;1;1;10;;;;Total per year;86;88;89;90;90;92;93;95;99;99;921;;Total per year;86;88;89;90;90;92;93;95;99;99;921
4;ALLSTATE;1;1;1;1;1;1;1;1;1;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;HONEYWELL INTL.;1;1;1;1;1;1;1;1;1;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;AMGEN;1;1;1;1;1;1;1;1;1;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;AMERICAN EXPRESS;1;1;1;1;1;1;1;1;1;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;AMERICAN INTL.GP.;1;1;1;1;1;1;1;1;1;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;COMCAST A;1;1;1;1;1;1;1;1;1;1;10;;;;All the companies:;921;;;;;;;;;;;;;;;;;;;;;;;
10;APPLE;1;1;1;1;1;1;1;1;1;1;10;;;;AMAZON.COM;10;;HALLIBURTON;10;;SIMON PROPERTY GROUP;10;;;;;;;;;;;;;;;;;
11;BERKSHIRE HATHAWAY 'B';1;1;1;1;1;1;1;1;1;1;10;;;;ABBOTT LABORATORIES;10;;GOLDMAN SACHS GP.;10;;SOUTHERN;10;;;;;;;;;;;;;;;;;
12;VERIZON COMMUNICATIONS;1;1;1;1;1;1;1;1;1;1;10;;;;INTERNATIONAL BUS.MCHS.;10;;HOME DEPOT;10;;AT&T;10;;;;;;;;;;;;;;;;;
13;BOEING;1;1;1;1;1;1;1;1;1;1;10;;;;ALLSTATE;10;;BIOGEN;10;;CHEVRON;10;;;;;;;;;;;;;;;;;
14;BRISTOL MYERS SQUIBB;1;1;1;1;1;1;1;1;1;1;10;;;;HONEYWELL INTL.;10;;INTEL;10;;STARBUCKS;10;;;;;;;;;;;;;;;;;
15;FEDEX;1;1;1;1;1;1;1;1;1;1;10;;;;AMGEN;10;;JOHNSON & JOHNSON;10;;NETFLIX;10;;;;;;;;;;;;;;;;;
16;CATERPILLAR;1;1;1;1;1;1;1;1;1;1;10;;;;AMERICAN EXPRESS;10;;BLACKROCK;10;;TEXAS INSTRUMENTS;10;;;;;;;;;;;;;;;;;
17;CELGENE;1;1;1;1;1;1;1;1;1;1;10;;;;AMERICAN INTL.GP.;10;;ELI LILLY;10;;UNION PACIFIC;10;;;;;;;;;;;;;;;;;
18;JP MORGAN CHASE & CO.;1;1;1;1;1;1;1;1;1;1;10;;;;COMCAST A;10;;UNITED PARCEL SER.'B';10;;UNITED TECHNOLOGIES;10;;;;;;;;;;;;;;;;;
19;CISCO SYSTEMS;1;1;1;1;1;1;1;1;1;1;10;;;;APPLE;10;;LOCKHEED MARTIN;10;;UNITEDHEALTH GROUP;10;;;;;;;;;;;;;;;;;
20;COCA COLA;1;1;1;1;1;1;1;1;1;1;10;;;;BERKSHIRE HATHAWAY 'B';10;;LOWE'S COMPANIES;10;;WALMART;10;;;;;;;;;;;;;;;;;
21;COLGATE-PALM.;1;1;1;1;1;1;1;1;1;1;10;;;;VERIZON COMMUNICATIONS;10;;MCDONALDS;10;;MASTERCARD;10;;;;;;;;;;;;;;;;;
22;DANAHER;1;1;1;1;1;1;1;1;1;1;10;;;;BOEING;10;;METLIFE;10;;BANK OF NEW YORK MELLON;10;;;;;;;;;;;;;;;;;
23;TARGET;1;1;1;1;1;1;1;1;1;1;10;;;;BRISTOL MYERS SQUIBB;10;;CVS HEALTH;10;;PHILIP MORRIS INTL.;9;;;;;;;;;;;;;;;;;
24;MORGAN STANLEY;1;1;1;1;1;1;1;1;1;1;10;;;;FEDEX;10;;MICROSOFT;10;;VISA 'A';10;;;;;;;;;;;;;;;;;
25;WALT DISNEY;1;1;1;1;1;1;1;1;1;1;10;;;;CATERPILLAR;10;;3M;10;;KINDER MORGAN;7;;;;;;;;;;;;;;;;;
